Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137,18.64864865,12.12984055,3.961401727,7.962872496,5.882352941,7.307692308,8.203902828,2.547143909,1.185788172,7.046873978,1.991985852,1.238042106,7.616588194,-2.971256724,-3.273646411,1.975547262,7.911563466,1.214349349,1.050607528,1.800225971,-0.090708046,-10.51974854,-3.685029387,3.44605475,-1.369863014,4.198232323,0.3,5.700000876,2.099999586,1.999999104,,,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.013077812,0.328067276,0.180223298,3.337903411,-0.178726242,2.212602807,3.936671343,4.18936779,2.648553253,0.050825666,-0.095421451,-2.343192183,-1.089417184,2.051913817,4.409974687,5.570029679,3.425411927,1.789506746,2.603875646,3.197142701,3.526479727,3.992607402,2.908003699,5.656581585,6.36180405,6.688755177,6.857303656,4.572539168,0.946811285,5.152336462,4.014183315,1.972651702,4.308369816,3.982150913,2.906749236,2.002640273,2.537431672,2.461969321,2.065469988,-2.949406721
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.848718725,3.770212292,7.272501085,5.396356332,4.049794443,-1.787093688,-9.54652116,1.46574102,15.4919338,17.90900025,10.80750846,3.145957515,4.213394416,10.24985156,-2.164314492,8.578716634,4.726198253,-2.194215697,5.230790283,1.995341227,-6.932754126,-3.35047945,-6.534199738,0.559360381,5.551687121,1.414758549,1.448386774,4.844282035,2.272112526,6.562921348,1.121069268,2.693959301,-1.160468293,-0.299641227,1.927027577,4.629047736,4.234698514,3.506515856,1.421035524,3.734635293,5.212695363,9.899590965,5.518510142,8.013485769,5.848350725,5.37446281,5.530987181,6.279223074,6.274463245,6.957010063,4.848350992,5.142964261,6.104240725,5.927349884,2.745936626,0.127594843,2.318041529,2.952230313,3.190336469,-0.884980919
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.400001219,0,4.200001428,6.000002164,3.49999949,2.900001743,4.082748636,6.128890476,0.041621462,-3.450098684,0.991359301,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568652,2.98985001,10.95286177,15.02891532,11.54768318,14.01001824,11.16613833,0.858712615,4.403932543,3.471976345,8.542187643,4.954544646,4.822627568,0.943571561,-2.580049644,-0.147212941,-2.003629727,-0.624644318,-5.39998739
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596802,1.104938262,-1.251596645,1.78064396,5.637243178,-0.787842655,-1.420039655,9.83654897,-9.575640169,-28.00214166,-7.187110916,9.559411694,8.302866591,13.32233332,9.099999444,-10.91998409,8.829423766,12.89080364,6.946216585,8.293312636,4.536524157,5.528637464,5.51466791,5.526424241,5.902659038,5.983259523,7.500041428,3.354289352,3.70693815,2.545406145,1.4172428,1.00201754,1.774448855,2.218726372,3.314980684,3.8022274,4.019359686,2.113419982,-3.955397927
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.649465361,8.149743489,7.788467203,5.61878973,0.542205659,3.30378705,2.838575566,1.463000179,0.041557195,2.208727607,-0.132474511,1.246461113,1.770118317,1.784686694,2.321433032,3.253321778,5.547122171,5.094326203,4.827034244,3.78138759,2.546003523,0.92921404,-1.03148439,2.383182248,2.757501613,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.95269325
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,15.72021691,8.153986189,-0.493527843,11.27126833,9.147076038,3.303810744,-8.554385152,-6.421816974,1.359288747,-2.033488071,4.508090168,-0.283069989,5.908825262,2.019340062,12.43808445,2.320331388,5.148076525,3.128226282,3.32015317,2.98053616,4.701585152,4.314963839,5.160340056,1.816646736,6.599703886,1.672485123,0.612839531,4.746411,9.036041803,5.426235698,6.068350981,4.524419226,5.765001632,0.622331024,4.788872969,3.801759581,5.034060402,2.952636481,2.565075788,2.977580207,3.184947794,0.923480069,2.396325692,2.067772416,-5.35450221
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,16.52685651,21.43933017,-1.58960332,20.92357308,23.87477491,4.659176674,-6.719316186,-4.7458207,4.01695128,-3.594476517,-14.95813656,3.381981709,-2.618907704,12.33789128,18.32798553,0.860081946,3.344944862,1.261190951,6.896148551,6.687886464,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602850048,6.928508599,4.483791985,5.053077855,4.41008526,5.060334864,2.984216091,2.373551057,1.189855642,3.411538686,-6.134500803
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.42784288,-0.852021523,-5.308196827,10.13029766,10.56943334,-0.659726172,3.191996623,4.822500782,9.679526008,3.045643319,5.658131083,1.628416516,2.811754041,5.533804395,-0.028412103,-2.018251517,6.934147755,-4.506124802,10.22276346,1.518783949,-5.18978914,-0.735659162,4.34909328,1.570738702,-5.189024352,6.153377063,2.704868826,-1.089933342,-7.156949656,-2.467213776,9.133110566,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.025934237,-9.895268964
